spp,x,y
Astyanax altiparanae,-76.5275,8.7081
Loricariichthys anus,-76.5275,8.7081
Loricaria apeltogaster,-76.5275,8.7081
Loricaria apeltogaster,-76.5275,8.7081
Rineloricaria altipinnis,-76.5275,8.7081
Loricariichthys maculatus,-76.5275,8.7081
Astyanax fasciatus,-76.5275,8.7081
Astyanax fasciatus,-59.30847,3.75023
Astyanax fasciatus,-59.29142,3.75764
Astyanax bimaculatus,-59.33247,3.78317
Astyanax fasciatus,-89.3611,15.1161
Astyanax fasciatus,-89.0955,15.2517
Astyanax fasciatus,-90.5327,14.6246
Astyanax fasciatus,-86.2531,14.7463
Astyanax fasciatus,-86.9989,13.9913
Astyanax fasciatus,-88.3958,17.5717
Astyanax fasciatus,-90.566667,16.466667
Astyanax fasciatus,-39.105591,-15.288949
Astyanax bimaculatus,-59.673693,3.324634
Astyanax bimaculatus,-59.794623,3.363709
Astyanax bimaculatus,-58.079962,6.696353
Astyanax fasciatus,-54.991667,-34.958333
Astyanax bimaculatus,-43.291667,-22.891667
Astyanax fasciatus,-85.940387,11.930142
Astyanax fasciatus,-89.841667,16.975
Astyanax fasciatus,-66.583333,8.666667
Astyanax fasciatus,-89.841667,16.975
Astyanax fasciatus,-77.591667,8.091667
Astyanax bimaculatus,-58.175,6.808333
Astyanax bimaculatus,-58.175,6.808333
Astyanax fasciatus,-74.813739,4.133665
Astyanax fasciatus,-78.858333,8.458333
Astyanax fasciatus,-76.510497,3.467364
Astyanax fasciatus,-75.233333,6.3
Astyanax fasciatus,-74.73455,5.206325
Astyanax bimaculatus,-48.758333,-1.191667
Astyanax bimaculatus,-48.425,-1.258333
Astyanax scabripinnis,-45.693611,-23.549722
Astyanax bimaculatus,-40.464918,-4.268683
Astyanax bimaculatus,-41.841667,-3.191667
Astyanax bimaculatus,-39.217951,-3.860681
Astyanax fasciatus,-78.625,9.041667
Astyanax fasciatus,-77.708333,8.091667
Astyanax fasciatus,-77.591667,8.008333
Astyanax fasciatus,-78.541667,9.008333
Astyanax fasciatus,-78.541667,9.008333
Astyanax fasciatus,-78.696527,9.156078
Astyanax fasciatus,-41.841667,-3.191667
Astyanax fasciatus,-39.217951,-3.860681
Astyanax bimaculatus,-41.718138,-2.879339
Astyanax bimaculatus,-41.841667,-3.191667
Astyanax fasciatus,-40.464918,-4.268683
Astyanax fasciatus,-34.891667,-8.108333
Astyanax bimaculatus,-52.067577,4.621318
Astyanax bimaculatus,-40.883333,-12.466667
Astyanax fasciatus,-51.431274,-31.238655
Astyanax bimaculatus,-69.741667,-4.241667
Astyanax fasciatus,-79.687996,9.112921
Astyanax fasciatus,-79.687996,9.112921
Astyanax scabripinnis,-42.75,-22.266667
Astyanax bimaculatus,-43.391667,-21.791667
Astyanax bimaculatus,-42.75,-22.266667
Astyanax bimaculatus,-42.75,-22.266667
Astyanax scabripinnis,-74.842424,-9.643801
Astyanax bimaculatus,-42.75,-22.266667
Astyanax scabripinnis,-42.75,-22.266667
Astyanax scabripinnis,-42.75,-22.266667
Astyanax fasciatus,-44.954963,-17.336154
Astyanax fasciatus,-39.825,-19.625
Astyanax fasciatus,-42.5,-17
Astyanax bimaculatus,-44.954963,-17.336154
Astyanax bimaculatus,-40.225,-17.908333
Astyanax bimaculatus,-40.991667,-21.291667
Astyanax bimaculatus,-39.891667,-18.741667
Astyanax bimaculatus,-42.5,-17
Astyanax fasciatus,-38.891667,-15.858333
Astyanax fasciatus,-38.491667,-12.975
Astyanax bimaculatus,-43.741667,-22.541667
Astyanax bimaculatus,-38.891667,-15.858333
Astyanax fasciatus,-38.891667,-15.858333
Astyanax fasciatus,-38.891667,-15.858333
Astyanax bimaculatus,-44.954963,-17.336154
Astyanax bimaculatus,-42.391667,-21.141667
Astyanax scabripinnis,-43.291667,-22.891667
Astyanax bimaculatus,-41.358333,-21.775
Astyanax fasciatus,-39.891667,-18.741667
Astyanax lacustris,-43.893652,-19.638312
Astyanax bimaculatus,-41.358333,-21.775
Astyanax fasciatus,-58.508333,-34.675
Astyanax fasciatus,-91.44301,16.812861
Astyanax fasciatus,-62.717615,8.34787
Astyanax fasciatus,-96.726355,18.637916
Astyanax fasciatus,-74.59293,4.519521
Astyanax bimaculatus,-43.041667,-19.291667
Astyanax bimaculatus,-52.175,-1.758333
Astyanax bimaculatus,-48.491667,-1.458333
Astyanax bimaculatus,-61.487828,10.674292
Astyanax bimaculatus,-44.841667,-17.208333
Astyanax bimaculatus,-44.841667,-17.208333
Astyanax fasciatus,-44.841667,-17.208333
Astyanax bimaculatus,-44.841667,-17.208333
Astyanax scabripinnis,-43.291667,-22.891667
Astyanax bimaculatus,-44.841667,-17.208333
Astyanax bimaculatus,-43.291667,-22.891667
Astyanax bimaculatus,-44.841667,-17.208333
